Year,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
2001,67,713,32,61,63,295,195
2002,39,445,8,23,24,221,130
2003,47,760,19,9,40,424,221
2004,52,719,74,25,19,337,212
2005,56,529,14,19,42,222,176
2006,31,483,17,26,23,210,176
2007,42,595,25,28,51,281,168
2008,41,635,20,25,30,327,192
2009,61,753,32,44,46,342,228
2010,61,738,30,28,45,394,180
